date,AWND,PRCP,SNOW,SNWD,TAVG,TMAX,TMIN,WSF2,WSF5
2019-05-01,5.166666666666667,0.01761904761904762,0.0,0.0,51.0,53.82608695652174,38.391304347826086,15.033333333333333,19.150000000000002
2019-05-02,6.966666666666666,0.09534653465346535,0.0,0.0,48.0,53.26086956521739,42.869565217391305,13.883333333333333,17.516666666666666
2019-05-03,4.716666666666667,0.06902912621359224,0.0,0.0,48.0,52.17391304347826,43.130434782608695,13.066666666666668,16.516666666666666
2019-05-04,4.1000000000000005,0.20069306930693068,0.0,0.0,52.0,57.04545454545455,45.72727272727273,10.316666666666666,12.549999999999999
2019-05-05,5.733333333333333,0.03898989898989899,0.0,0.0,50.0,56.82608695652174,46.95652173913044,11.383333333333333,14.883333333333333
2019-05-06,8.5,0.056600000000000004,0.0,0.0,52.0,57.21739130434783,45.30434782608695,16.21666666666667,22.016666666666666
2019-05-07,8.549999999999999,0.014519230769230769,0.0,0.0,58.0,67.08695652173913,39.130434782608695,21.166666666666668,28.28333333333333
2019-05-08,7.0200000000000005,0.14759259259259258,0.0,0.0,58.0,70.1304347826087,44.78260869565217,16.666666666666668,21.78333333333333
2019-05-09,7.55,9.80392156862745e-05,0.0,0.0,52.0,63.56521739130435,38.130434782608695,16.216666666666665,20.633333333333333
2019-05-10,9.633333333333333,0.0052525252525252525,0.0,0.0,55.0,61.78260869565217,46.30434782608695,19.416666666666668,24.983333333333334
2019-05-11,10.066666666666666,0.036336633663366334,0.0,0.0,64.0,64.73913043478261,49.869565217391305,20.3,26.349999999999998
2019-05-12,4.366666666666666,0.059081632653061225,0.0,0.0,51.0,61.40909090909091,43.57142857142857,15.216666666666667,21.166666666666668
2019-05-13,11.049999999999999,0.4303061224489796,0.0,0.0,49.0,52.82608695652174,40.30434782608695,22.316666666666666,28.71666666666667
2019-05-14,8.016666666666667,0.6648571428571429,0.0,0.0,45.0,52.34782608695652,39.91304347826087,16.883333333333336,22.75
2019-05-15,7.166666666666667,0.08278846153846153,0.0,0.0,51.0,52.391304347826086,41.47826086956522,17.7,24.983333333333334
2019-05-16,4.583333333333333,0.015660377358490567,0.0,0.0,57.0,62.65217391304348,43.130434782608695,13.883333333333333,17.7
2019-05-17,5.016666666666667,0.02330097087378641,0.0,0.0,55.0,66.26086956521739,43.91304347826087,13.066666666666668,18.0
2019-05-18,8.783333333333333,0.135625,0.0,0.0,62.0,67.8695652173913,48.130434782608695,18.849999999999998,25.28333333333333
2019-05-19,11.683333333333332,0.016979166666666667,0.0,0.0,60.0,72.56521739130434,49.82608695652174,24.96666666666667,31.03333333333333
2019-05-20,11.450000000000001,0.21670103092783505,0.0,0.0,73.0,77.78260869565217,57.52173913043478,24.083333333333332,32.03333333333333
2019-05-21,16.133333333333333,0.1732,0.0,0.0,67.0,78.26086956521739,54.391304347826086,28.96666666666667,40.516666666666666
2019-05-22,10.65,0.0,0.0,0.0,61.0,68.69565217391305,50.34782608695652,20.033333333333335,28.733333333333334
2019-05-23,12.133333333333333,0.011250000000000001,0.0,0.0,61.0,69.65217391304348,49.21739130434783,22.816666666666666,30.733333333333334
2019-05-24,12.850000000000001,0.17272727272727273,0.0,0.0,65.0,69.47826086956522,52.17391304347826,30.883333333333336,42.65
2019-05-25,8.35,0.005789473684210527,0.0,0.0,61.0,71.9090909090909,44.77272727272727,21.833333333333332,27.619999999999997
2019-05-26,10.049999999999999,0.23383838383838382,0.0,0.0,71.0,79.95652173913044,49.391304347826086,24.166666666666668,32.21666666666667
2019-05-27,6.816666666666666,0.0013402061855670104,0.0,0.0,69.0,82.52173913043478,55.95652173913044,15.4,21.683333333333334
2019-05-28,9.016666666666667,0.0386734693877551,0.0,0.0,58.0,70.34782608695652,51.130434782608695,17.666666666666668,23.133333333333336
2019-05-29,6.516666666666667,0.34504854368932036,0.0,0.0,52.0,56.608695652173914,46.869565217391305,15.666666666666666,20.5
2019-05-30,5.816666666666666,0.06202020202020202,0.0,0.0,56.0,58.78260869565217,47.78260869565217,14.549999999999999,18.183333333333334
2019-05-31,6.933333333333334,0.19448979591836735,0.0,0.0,63.0,69.08695652173913,52.43478260869565,16.666666666666668,21.366666666666664
2019-06-01,5.566666666666666,0.0010526315789473684,0.0,0.0,60.0,73.1304347826087,52.56521739130435,14.700000000000001,18.883333333333336
2019-06-02,5.883333333333333,0.03831578947368421,0.0,0.0,56.0,73.31818181818181,52.27272727272727,17.366666666666667,22.7
2019-06-03,13.0,0.28240000000000004,0.0,0.0,64.0,71.82608695652173,50.869565217391305,28.683333333333334,37.78333333333333
2019-06-04,7.633333333333333,0.0003773584905660377,0.0,0.0,63.0,69.95652173913044,44.21739130434783,18.666666666666668,25.166666666666668
